1,3.255312
2,1.483748
3,1.237859
4,0.858769
5,0.631951
6,0.542088
7,0.436488
8,0.428733
9,0.436232
10,0.406056
11,0.384606
12,0.390291
13,0.360929
14,0.388475
15,0.352812
16,0.295675
17,0.330361
18,0.344143
19,0.323355
20,0.348186
21,0.292154
22,0.328567
23,0.300973
24,0.313004
25,0.317397
26,0.285223
27,0.316432
28,0.273936
29,0.291930
30,0.297759
31,0.281589
32,0.272349
33,0.277889
34,0.276144
35,0.263923
36,0.276542
37,0.267393
38,0.258862
39,0.259753
40,0.263324
41,0.252867
42,0.279767
43,0.247124
44,0.240066
45,0.269848
46,0.245892
47,0.265266
48,0.245182
49,0.243716
50,0.261432
51,0.255206
52,0.260153
53,0.246460
54,0.267251
55,0.239924
56,0.236581
57,0.248542
58,0.221228
59,0.230274
60,0.249656
61,0.260990
62,0.229444
63,0.263042
64,0.253159
65,0.234240
66,0.228744
67,0.253561
68,0.231952
69,0.283663
70,0.224258
71,0.223220
72,0.262364
73,0.200488
74,0.200027
75,0.229853
76,0.218223
77,0.240886
78,0.250927
79,0.204232
80,0.226335
81,0.198544
82,0.210495
83,0.244376
84,0.218407
85,0.253014
86,0.215475
87,0.213644
88,0.213823
89,0.211664
90,0.224052
91,0.221619
92,0.221236
93,0.225306
94,0.197735
95,0.209193
96,0.227758
97,0.192507
98,0.191073
99,0.211740
100,0.219210
